# Iranian Proxies — checked 2026-03-22 22:22 UTC
# Live-verified working: 0
# Total CIDR-confirmed Iranian IPs: 238
# TCP stats: ok=9 refused=3 timeout=226
# NOTE: Most timeouts = GitHub Actions (Azure) cannot reach Iranian IPs.
#       Test the 'All CIDR-confirmed' section locally for accurate results.
#

# === NO LIVE-VERIFIED PROXIES (likely Azure routing block) ===



# === ALL CIDR-CONFIRMED IRANIAN IPs (unverified, sorted by source) ===
# These are in Iranian IP ranges — test locally with:
#   python check_proxies.py  (run on a non-Azure VPS or your local machine)

194.31.108.52:55555         # gh_ercindedeoglu_http
94.182.146.250:8080         # gh_ercindedeoglu_http
188.209.152.49:8080         # gh_ercindedeoglu_http
185.93.89.191:6215          # sunny9577
195.137.167.13:80           # gh_ercindedeoglu_http
37.255.228.1:3128           # gh_ercindedeoglu_http
85.133.190.40:8099          # gh_ercindedeoglu_http
91.108.130.18:3128          # gh_aslisk_s5
5.34.203.68:3128            # gh_ercindedeoglu_http
2.180.1.94:8080             # gh_ercindedeoglu_http
185.170.238.42:8080         # gh_ercindedeoglu_http
195.137.167.25:80           # gh_ercindedeoglu_http
188.136.164.140:3128        # gh_ercindedeoglu_http
37.32.29.253:8888           # gh_ercindedeoglu_http
195.137.167.23:80           # gh_ercindedeoglu_http
195.137.167.44:80           # gh_ercindedeoglu_http
62.60.237.240:443           # openray_all
31.24.202.242:8080          # gh_ercindedeoglu_http
195.137.167.53:80           # gh_ercindedeoglu_http
94.74.131.234:80            # gh_ercindedeoglu_http
185.93.89.145:35408         # gh_ercindedeoglu_s5
5.190.78.242:8080           # gh_ercindedeoglu_http
195.137.167.46:80           # gh_ercindedeoglu_http
109.230.89.126:3128         # gh_ercindedeoglu_http
193.3.182.46:8080           # gh_ercindedeoglu_http
37.221.14.106:8080          # gh_ercindedeoglu_http
45.129.38.212:4444          # gh_razvan_s5
185.93.89.164:21268         # gh_ercindedeoglu_s5
195.137.167.22:80           # gh_ercindedeoglu_http
81.12.122.10:8080           # gh_ercindedeoglu_http
195.137.167.21:80           # gh_ercindedeoglu_http
93.126.6.68:3128            # gh_aslisk_s5
2.180.31.98:8035            # gh_aslisk_s5
31.170.53.140:80            # gh_ercindedeoglu_http
93.126.31.33:8080           # gh_aslisk_s5
87.236.213.177:80           # gh_ercindedeoglu_http
92.119.59.161:80            # gh_ercindedeoglu_http
79.127.56.147:8080          # gh_ercindedeoglu_http
185.93.89.187:7768          # gh_ercindedeoglu_s5
195.137.167.12:80           # gh_ercindedeoglu_http
194.5.176.88:32654          # gh_speedx_http
87.107.146.209:8118         # gh_ercindedeoglu_http
195.137.167.54:80           # gh_ercindedeoglu_http
195.137.167.5:80            # gh_ercindedeoglu_http
45.86.7.36:8080             # gh_ercindedeoglu_http
194.150.68.7:7010           # gh_aslisk_s5
194.9.80.1:5060             # gh_ercindedeoglu_http
109.230.90.14:8080          # gh_ercindedeoglu_http
195.137.167.56:80           # gh_ercindedeoglu_http
185.220.226.128:808         # gh_ercindedeoglu_s5
213.232.126.62:80           # gh_ercindedeoglu_http
94.182.208.169:8080         # gh_ercindedeoglu_http
62.60.217.235:2053          # openray_all
195.137.167.29:80           # gh_ercindedeoglu_http
185.128.138.107:8080        # gh_ercindedeoglu_http
185.226.118.159:10808       # gh_aslisk_s5
37.152.176.84:8181          # gh_ercindedeoglu_http
195.137.167.69:80           # gh_ercindedeoglu_http
84.241.10.214:8080          # gh_ercindedeoglu_http
195.137.167.67:80           # gh_ercindedeoglu_http
91.92.208.172:8080          # gh_speedx_http
188.136.164.227:7060        # gh_ercindedeoglu_http
37.32.23.217:3128           # gh_ercindedeoglu_http
31.214.171.62:3128          # gh_speedx_http
2.179.193.146:3128          # gh_ercindedeoglu_http
62.106.95.98:6889           # gh_aslisk_s5
94.182.85.5:80              # gh_ercindedeoglu_http
5.202.249.158:8080          # gh_ercindedeoglu_http
185.128.153.10:8080         # gh_ercindedeoglu_http
37.156.28.43:3128           # gh_ercindedeoglu_http
195.137.167.32:80           # gh_ercindedeoglu_http
195.137.167.57:80           # gh_ercindedeoglu_http
2.180.10.65:8443            # gh_aslisk_s5
195.137.167.2:80            # gh_ercindedeoglu_http
80.191.162.4:514            # gh_ercindedeoglu_http
45.139.11.134:80            # gh_ercindedeoglu_http
194.150.69.43:8888          # gh_ercindedeoglu_http
195.137.167.9:80            # gh_ercindedeoglu_http
79.175.189.223:1080         # gh_ercindedeoglu_http
109.238.181.53:8083         # gh_ercindedeoglu_http
77.238.123.226:80           # gh_ercindedeoglu_http
